tau,ratio,ratio_std,err
0.0010000000000000002,0.008906250000000001,0.005245440728623287,0.01836849123217852
0.0013725965927377422,0.008906250000000001,0.005245440728623287,0.01836849123217852
0.0018840214063952589,0.00875,0.0054126587736527424,0.01852474123217852
0.0025860013630631027,0.00875,0.0054126587736527424,0.01852474123217852
0.003059702213456785,0.010624999999999999,0.008523863560616159,0.016649741232178522
0.003415004546081951,0.010624999999999999,0.008523863560616159,0.016649741232178522
0.003549536659755571,0.00875,0.0054126587736527424,0.01852474123217852
0.003811565713313198,0.0109375,0.008356088723200586,0.016337241232178522
0.004254176821981931,0.01109375,0.008278301361843503,0.01618099123217852
0.004717107563347098,0.006562500000000001,0.0035767259819561243,0.02071224123217852
0.0047481853374519425,0.01171875,0.008195308776214598,0.015555991232178521
0.004872081924978202,0.00828125,0.004281934251888975,0.01899349123217852
0.004912300266703066,0.01359375,0.01732544078623975,0.013680991232178521
0.004912300266703066,0.006562500000000001,0.003940475066537028,0.02071224123217852
0.005115569994153087,0.00671875,0.0038999949919839645,0.020555991232178522
0.005115569994153091,0.0203125,0.02340831516256563,0.00696224123217852
0.005299559689738104,0.01203125,0.008476472493761777,0.01524349123217852
0.0053272509708863994,0.0071875,0.0036843206632973737,0.02008724123217852
0.0053272509708863994,0.0209375,0.02344999666844326,0.00633724123217852
0.005547691252245001,0.02125,0.023675871156094763,0.00602474123217852
0.005547691252245001,0.00828125,0.0031830544980411503,0.01899349123217852
0.005777253296011832,0.009375000000000001,0.002795084971874737,0.01789974123217852
0.005777253296011837,0.021562500000000002,0.02308061619086458,0.005712241232178519
0.0059149613818926285,0.013125000000000001,0.008772293029761376,0.01414974123217852
0.006016314558380113,0.0221875,0.02271382769922322,0.005087241232178522
0.006016314558380113,0.010468749999999999,0.0027198273727389393,0.016805991232178522
0.006265268114583697,0.01171875,0.0029273428117492493,0.015555991232178521
0.006265268114583697,0.02296875,0.019524998999679872,0.0043059912321785215
0.006524523305208985,0.02453125,0.019018263220849055,0.00274349123217852
0.006524523305208985,0.0125,0.0027243118397129213,0.01477474123217852
0.006601825471845972,0.0159375,0.009877175393299444,0.01133724123217852
0.006687403049764225,0.017343749999999998,0.004736720747257537,0.009930991232178523
0.006794506409251045,0.01359375,0.003213588093937989,0.013680991232178521
0.006794506409251051,0.026250000000000002,0.019162137145944863,0.0010247412321785186
0.007075661345020649,0.015,0.003535533905932738,0.012274741232178522
0.007075661345020649,0.02734375,0.01931884503373584,6.900876782147888e-05
0.007368450400054601,0.0246875,0.015845321667609026,0.00258724123217852
0.007368450400054601,0.01734375,0.004938587696649721,0.00993099123217852
0.007368450400054601,0.01890625,0.009194884362377812,0.008368491232178522
0.007673354991229631,0.02,0.005077524002897476,0.007274741232178521
0.007673354991229638,0.0271875,0.015845321667609023,8.724123217852126e-05
0.007990876456329602,0.02234375,0.005499911220874388,0.004930991232178522
0.007990876456329602,0.0284375,0.01508763463071664,0.0011627587678214799
0.008224098248220336,0.14265625,0.3015237588456961,0.1153815087678215
0.008321536878367505,0.03125,0.01574950396044269,0.003975258767821479
0.008321536878367505,0.026875000000000003,0.009802741963348826,0.00039974123217851806
0.008665879944017758,0.03015625,0.009528688180305826,0.002881508767821478
0.008665879944017758,0.03453125,0.017621647509171782,0.007256508767821478
0.009024471837570172,0.032343750000000004,0.01031605052515254,0.005069008767821483
0.00902447183757018,0.03828125,0.018811747285605876,0.011006508767821482
0.009179106640370359,0.0371875,0.0080707322313406,0.009912758767821477
0.009179106640370359,0.03703125,0.0166880559364325,0.00975650876782148
0.009397902171875548,0.041875,0.018466608378367694,0.014600258767821481
0.009397902171875548,0.03546875,0.009034169078421103,0.00819400876782148
0.00978678495781348,0.046875,0.020888468708835504,0.01960025876782148
0.00978678495781348,0.04015625,0.008958181927015103,0.012881508767821476
0.010191759613876571,0.04484375,0.009342391205547966,0.01756900876782148
0.01019175961387658,0.05265625,0.022065576095753766,0.02538150876782148
0.010245013638245856,0.15234375,0.27527857871334177,0.12506900876782148
0.010613492017530975,0.0490625,0.008118988160479113,0.02178775876782148
0.010613492017530975,0.05687500000000001,0.022079402165819616,0.029600258767821488
0.011052675600081904,0.061875,0.0208322916406237,0.03460025876782148
0.011434697139939597,0.06609374999999999,0.011947762277409943,0.038819008767821475
0.012599210498948734,0.07046875,0.010788041339256168,0.04319400876782148
0.012762530465945795,0.08546875,0.01349099091755309,0.05819400876782148
